,title,link_to_recipe,link_to_image
0,"Pilno grūdo spagečiai su pievagrybiais
4 asm.",https://www.15min.lt/maistas/receptas/pilno-grudo-spageciai-su-pievagrybiais-8756,https://s1.15min.lt/static/cache/MjIweDIwMCw0NTB4Mjc3LDYxNjE2MyxvcmlnaW5hbCwsaWQ9NTI5OTAyNiZkYXRlPTIwMjAlMkYwMyUyRjI3LDMzMDI3MjU5Nzg=/pilno-grudo-spageciai-su-pievagrybiais-5e7da800aac36.jpg
1,"Raugo duona su džiovintais baravykais
4 asm.",https://www.15min.lt/maistas/receptas/raugo-duona-su-dziovintais-baravykais-8754,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01Mjk0NTU2JmRhdGU9MjAyMCUyRjAzJTJGMjMsNDI4MTc3NjQzMw==/raugo-duona-su-dziovintais-baravykais-5e78b27e02b24.jpg
2,"Vanilinis pyragas su citrininiu glajumi
6 asm.",https://www.15min.lt/maistas/receptas/vanilinis-pyragas-su-citrininiu-glajumi-8752,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01Mjk3NTU2JmRhdGU9MjAyMCUyRjAzJTJGMjUsMTMxMzU4NDQyOA==/vanilinis-pyragas-su-citrininiu-glajumi-5e7b57ef8b663.jpg
3,"Išraiškinga, bet nesudėtinga vištiena korėjietiškai
4 asm.",https://www.15min.lt/maistas/receptas/israiskinga-bet-nesudetinga-vistiena-korejietiskai-8750,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01Mjk0MjEyJmRhdGU9MjAyMCUyRjAzJTJGMjMsMzM1MjgwMjg1Mg==/lipni-vistiena-korejietiskai-5e788b35937fb.jpg
4,"Šiltos šviežių bulvyčių ir lęšių salotos
4 asm.",https://www.15min.lt/maistas/receptas/siltos-svieziu-bulvyciu-ir-lesiu-salotos-8748,https://s1.15min.lt/static/cache/MjIweDIwMCw1NDV4NTQyLDYxNjE2MyxvcmlnaW5hbCwsaWQ9NTI4MzA4MCZkYXRlPTIwMjAlMkYwMyUyRjEzLDMzODUyOTc5Njc=/siltos-svieziu-bulviu-ir-lesiu-salotos-nuotr-k-pisniukaite-simkiene-ant-me-dines-lenteles-5e6b5dfc6687f.jpg
5,"Nesaldūs veganiški avinžirnių miltų vafliai
3 asm.",https://www.15min.lt/maistas/receptas/nesaldus-veganiski-avinzirniu-miltu-vafliai-8746,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MjkyMTMyJmRhdGU9MjAyMCUyRjAzJTJGMjAsMzA1OTEwNzE4Nw==/ciberzoles-latte-gerimas-5e749f1dde938.jpg
6,"Krekeriai iš moliūgų ir saulėgrąžų sėklų
6 asm.",https://www.15min.lt/maistas/receptas/krekeriai-is-moliugu-ir-saulegrazu-seklu-8744,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01Mjg3NzQyJmRhdGU9MjAyMCUyRjAzJTJGMTcsMzMzMjY3ODc1MQ==/moliugu-seklu-ir-saulegrazu-krekeriai-5e70a794c5949.jpg
7,"Perlinių kruopų troškinys su šonine, daržovėm ir baravykais
4 asm.",https://www.15min.lt/maistas/receptas/perliniu-kruopu-troskinys-su-sonine-darzovem-ir-baravykais-8742,https://s1.15min.lt/static/cache/MjIweDIwMCw5NDZ4NTA2LDYxNjE2MyxvcmlnaW5hbCwsaWQ9NTI4MzYxNiZkYXRlPTIwMjAlMkYwMyUyRjEzLDI0NDg3NDQ2MDE=/perliniu-kruopu-troskinys-5e6b9609d5942.jpg
8,"Turkiškos picos „pidė“
4 asm.",https://www.15min.lt/maistas/receptas/turkiskos-picos-pide-8740,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD0zOTQ4MzYyJmRhdGU9MjAxOCUyRjA2JTJGMDQsMzY2ODg1MzE3NQ==/turkiskos-picos-pide-5b1542230be05.jpg
9,"Šventinis trispalvis tortas
8 asm.",https://www.15min.lt/maistas/receptas/sventinis-trispalvis-tortas-8738,https://s1.15min.lt/static/cache/MjIweDIwMCwzNDV4NjU5LDYxNjE2MyxvcmlnaW5hbCwsaWQ9NTIzNDQ3MiZkYXRlPTIwMjAlMkYwMiUyRjE0LDI4NTk5ODE1OTU=/trispalvis-tortas-5e4698d1697b6.jpg
10,"Karka su daržovėmis
4 asm.",https://www.15min.lt/maistas/receptas/karka-su-darzovemis-8736,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MjQ3NzE2JmRhdGU9MjAyMCUyRjAyJTJGMjEsMTA5NzkwMjkwNw==/prancuziski-siuzetes-blyneliai-5e4fdfba2fd48.jpg
11,"Greita avinžirnių sriuba su šonine ir žalumynais
4 asm.",https://www.15min.lt/maistas/receptas/greita-avinzirniu-sriuba-su-sonine-ir-zalumynais-8734,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MjI3ODM4JmRhdGU9MjAyMCUyRjAyJTJGMTEsMjMxNjkyOTc2Ng==/avinzirniu-sriuba-5e428fdc5e9b3.jpg
