,title,link_to_recipe,link_to_image
0,"Varškės ir fermentinio sūrio pyragas
8 asm.",https://www.15min.lt/maistas/receptas/varskes-ir-fermentinio-surio-pyragas-8796,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MDYwOTcwJmRhdGU9MjAxOSUyRjExJTJGMDUsMjI0MDg1MTA4OA==/varskes-ir-fermentinio-surio-pyragas-shutterstock-5dc1509d223a1.jpg
1,"Migdolų saldainiai su kakava
6 asm.",https://www.15min.lt/maistas/receptas/migdolu-saldainiai-su-kakava-8794,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzA0OTc2JmRhdGU9MjAyMCUyRjA0JTJGMDIsMzg3ODMxMTMwMg==/migdolu-saldainiai-su-kakava-shutterstock-5e8588b1ce146.jpg
2,"Silkė su burokėliais ir bulvėmis
2 asm.",https://www.15min.lt/maistas/receptas/silke-su-burokeliais-ir-bulvemis-8792,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzA4NTUyJmRhdGU9MjAyMCUyRjA0JTJGMDYsMTcyODA2MDY1Ng==/5e86fbc10d784-5e8b1489b2b3b.jpg
3,"Sumuštinis su lašiša ir kiaušiniu
2 asm.",https://www.15min.lt/maistas/receptas/sumustinis-su-lasisa-ir-kiausiniu-8790,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzA4NTU2JmRhdGU9MjAyMCUyRjA0JTJGMDYsMTk3OTI1ODk1NQ==/5e86fbc1362fa-5e8b148bf22e4.jpg
4,"Makaronai su gorgonzolos padažu
2 asm.",https://www.15min.lt/maistas/receptas/makaronai-su-gorgonzolos-padazu-8788,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzA2NzQyJmRhdGU9MjAyMCUyRjA0JTJGMDMsMjQxNDA5NjgyNA==/makaronai-su-gorgonzolos-padazu-5e8712723b5bd.jpg
5,"Pavasarinės salotos su keptu varškės sūriu
2 asm.",https://www.15min.lt/maistas/receptas/pavasarines-salotos-su-keptu-varskes-suriu-8786,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzAyMjEwJmRhdGU9MjAyMCUyRjAzJTJGMzAsMjEwNzcxMTcwOA==/vakarienei-pavasarines-salotos-su-keptu-varskes-suriu_pexelscom-nuotr-5e8209ad4adc5.jpg
6,"Kiaušinienė brokolių patale
4 asm.",https://www.15min.lt/maistas/receptas/kiausiniene-brokoliu-patale-8784,https://s1.15min.lt/static/cache/MjIweDIwMCw2MjN4MzQyLDYxNjE2MyxvcmlnaW5hbCwsaWQ9NTMwMjIwOCZkYXRlPTIwMjAlMkYwMyUyRjMwLDkxNDUzNjI5Mw==/pusryciams-kiausiniene-brokoliu-patal-e_pixlrcom-nuotr-5e8209accad6d.jpg
7,"Bananiniai blynai iš 3 ingredientų
2 asm.",https://www.15min.lt/maistas/receptas/bananiniai-blynai-is-3-ingredientu-8782,https://s1.15min.lt/static/cache/MjIweDIwMCwxMTUzeDQ2NCw2MTYxNjMsb3JpZ2luYWwsLGlkPTUzMDQyNzYmZGF0ZT0yMDIwJTJGMDQlMkYwMSw3NjEyMzc3OTU=/bananiniai-blyneliai-5e846add2cc48.jpg
8,"Lengvas pieno kremo desertas su liofilizuotomis uogomis
2 asm.",https://www.15min.lt/maistas/receptas/lengvas-pieno-kremo-desertas-su-liofilizuotomis-uogomis-8780,https://s1.15min.lt/static/cache/MjIweDIwMCw3NDB4NTg2LDYxNjE2MyxvcmlnaW5hbCwsaWQ9NTMwNjI4OCZkYXRlPTIwMjAlMkYwNCUyRjAzLDM5NDc3OTI4MTk=/pieno-desertas-su-dziovintomis-uogomis-5e86dafd643fe.jpg
9,"Vištos krūtinėlių suktinukai, įdaryti sūriu ir špinatais
2 asm.",https://www.15min.lt/maistas/receptas/vistos-krutineliu-suktinukai-idaryti-suriu-ir-spinatais-8778,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzA4NDcyJmRhdGU9MjAyMCUyRjA0JTJGMDYsMzUyNTUyNTQxMg==/vistos-krutineliu-suktinukai-idaryti-suriu-ir-spinatais-5e8b04547fb1a.jpg
10,"Maltos kiaulienos terinas su žirneliais Velykoms
6 asm.",https://www.15min.lt/maistas/receptas/maltos-kiaulienos-terinas-su-zirneliais-velykoms-8776,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzEwNzI4JmRhdGU9MjAyMCUyRjA0JTJGMDgsMzE5MjM1NTA0NQ==/maltos-kiaulienos-terinas-su-zirneliais-5e8d8ba131bb9.jpg
