,title,link_to_recipe,link_to_image,about_recipe,price_equipment
0,"Žaidimų ausinės Logitech G332, 50mm, 3,5mm, Daugiaplatformės",https://www.varle.lt/ausines/zaidimu-ausines-logitech-g332-50mm-35mm-daugiaplatformes--14211536.html,https://www.varle.lt/static/uploads/products/235x195/622/aus/ausines-logitech-g332-981-000757.jpg,"

GamintojasLogitech
SerijaG33x
Belaidės ausinėsNe
Rekomenduojama paskirtisŽaidimams
MikrofonasYra
Kabelio ilgis (m)2.0

","

34.99
 €
"
1,Belaidės Ausinės Razer Hammerhead True Wireless X | Mobile,https://www.varle.lt/ausines/belaides-ausines-razer-hammerhead-true-belaides-x--16532010.html,https://www.varle.lt/static/uploads/products/235x195/1103/bev/bevieles-zaidimu-ausines-razer-hammerhead.jpg,"

GamintojasRazer
SerijaHammerhead
Belaidės ausinėsTaip
Rekomenduojama paskirtisMobile Gaming, Žaidimams
MikrofonasYra
SpalvaŽalia, Juoda

","

59.99
 €
"
2,"Žaidimų kėdė Sense7 Spellcaster Gaming Chair, Juoda-pilka",https://www.varle.lt/zaidimu-gaming-kedes/zaidimu-kede-sense7-spellcaster-gaming-chair-juoda-pilka--16456622.html,https://www.varle.lt/static/uploads/products/235x195/605/zai/zaidimu-kede-sense7-spellcaster-gaming-chair_X2BIAaj.jpg,"

GamintojasSense7
TipasŽaidimų kėdės
Maksimalus žaidėjo svoris (kg)150
YpatybėsSu kaklo pagalve, Su nugaros pagalve
MedžiagaDirbtinė oda, EKO oda
SerijaSpellcaster

","

139.99
 €
"
3,"Žaidimų ausinės HyperX Cloud II (Raudonos) USB control box with DSP sound card, Virtual Dolby 7.1 Surround",https://www.varle.lt/ausines/zaidimu-ausines-hyperx-cloud-ii-raudonos-usb-control--7386811.html,https://www.varle.lt/static/uploads/products/235x195/206/zai/zaidimu-ausines-hyperx-cloud-ii-raudonos.jpeg,"

GNe
Rekomenduojama paskirtisŽaidimams
MikrofonasYra
Kabelio ilgis amintojasHyperX
SerijaCloud II
Belaidės ausinės(m)1.0

","

69.99
 €
"
4,"Laidinė Ergonomiška pelė Razer DeathAdder V2, Chroma, Juoda",https://www.varle.lt/peles/laidine-ergonomiska-pele-razer-death-adder-v2-chroma--13283439.html,https://www.varle.lt/static/uploads/products/235x195/605/lai/laidine-ergonomiska-pele-razer-deathadder.jpeg,"

GamintojasRazer
SerijaDeathAdder
Rekomenduojama paskirtisŽaidimams
Belaidis pajungimasNėra
TipasOptinės
Išskirtinės savybėsSu pašvietimu

","

39.99
 €
"
5,"Belaidė itin tyli pelė Xiaomi Mi Dual Mode Silent Edition, juoda",https://www.varle.lt/peles/belaide-itin-tyli-pele-xiaomi-mi-dual-mode-silent--14036988.html,https://www.varle.lt/static/uploads/products/235x195/4/xia/xiaomi-mi-dual-mode-belaide-pele-silent_DJJwQem.png,"

GamintojasXiaomi
Rekomenduojama paskirtisDarbui (Klasikinės)
Belaidis pajungimasYra
TipasOptinės
SpalvaJuoda
Mygtukų skaičius5

","

14.99
 €
"
6,Spausdintuvas/Kopijuoklis/Skeneris PIXMA TS3150/WIFI Juodas 2226C006 CANON,https://www.varle.lt/spausdintuvai/spausdintuvas-printercopscan-pixma-ts3150wifi-juodas--7401383.html,https://www.varle.lt/static/uploads/products/235x195/143/spa/spausdintuvas-canon-pixma-ts3150-2226c006aa.jpeg,"

GamintojasCanon
Pagrindinės funkcijosDaugiafunkcinis
TechnologijaRašalinis
SpausdinimasSpalvotas
Spausdinimo formatasB5, Vokai, A5, A4, Atvirukai
YpatybėsDvipusis (Duplex), Wi-Fi

","

69.89
 €
"
7,"Monitorius LG 24MP60G-B, 24 colių/Gaming/ Full HD / IPS",https://www.varle.lt/monitoriai/monitorius-lg-24mp60g-b--16134744.html,https://www.varle.lt/static/uploads/products/235x195/622/mon/monitorius-lg-24mp60g-b.jpg,"

GamintojasLG
Ekrano įstrižainė24.0 ""
Maksimali rezoliucija1920 x 1080
Didžiausias dažnis (Hz)75 Hz
Reakcijos greitis (ms)5
VESA matmenys (mm)Yra

","

128.90
 €
"
8,Stacionarus kompiuteris Actina /ASUS TUF GAMING B550M-PLUS / GeForce RTX 3060 / Patriot Memory PVS416G360C7K / WD BLUE WDS100T3B0C / SilentiumPC Fera 5 Dual Fan / be quiet Pure Power 11 FM / ASUS TUF GAMING GT301,https://www.varle.lt/stacionarus-kompiuteriai/stacionarus-kompiuteris-pc-actina-pba-5600x161tbrtx3060--19050890.html,https://www.varle.lt/static/uploads/products/235x195/2/act/actina-5901443280569-pc-ddr4-sdram-5600x.jpg,"

GamintojasActina
Disko talpa (HDD)1 TB
Disko talpa (SSD)1000 GB
Procesoriaus tipasAMD Ryzen 5
Vaizdo plokštės modelisGeForce RTX 3060
TipasAll in One kompiuteriai (AiO)

","

1351.99
 €
"
9,"Žaidimų kėdė Sense7 Sentinel fabric Gaming Chair, Juoda",https://www.varle.lt/zaidimu-gaming-kedes/zaidimu-kede-sense7-sentinel-fabric-gaming-chair--16442991.html,https://www.varle.lt/static/uploads/products/235x195/622/zai/zaidimu-kede-sense7-sentinel-fabric-gaming_RBkY9l1.jpg,"

GamintojasSense7
TipasŽaidimų kėdės
Maksimalus žaidėjo svoris (kg)150
YpatybėsSu kaklo pagalve, Su nugaros pagalve
MedžiagaTekstilė
SerijaSentinel

","

179.99
 €
"
10,"Žaidimų ausinės HyperX Cloud Alpha Pro, skirta PC PS4 Xbox One Nintendo Switch",https://www.varle.lt/ausines/zaidimu-ausines-hyperx-cloud-alpha-pro-skirta-pc--19387313.html,https://www.varle.lt/static/uploads/products/235x195/12/aus/ausines-headset-hyperx-cloud-alpha-red-hx-hsca-rd-em.Jpeg,"

GamintojasHyperX
SerijaCloud Alpha
Belaidės ausinėsNe
Rekomenduojama paskirtisMobile Gaming, Žaidimams
MikrofonasYra
Kabelio ilgis (m)1.3

","

69.99
 €
"
11,"Monitorius SAMSUNG LC24F390FHRXEN 24""/Business/Curved/Panel VA/FHD/16:9/Juodas",https://www.varle.lt/monitoriai/monitorius-samsung-c24f390-lc24f390fhrxen--15374978.html,https://www.varle.lt/static/uploads/products/235x195/2/sam/samsung-c24f390fhr-61-cm-24-1920-x-1080.jpeg,"

GamintojasSamsung
Ekrano įstrižainė24.0 ""
Maksimali rezoliucija1920 x 1080
Didžiausias dažnis (Hz)60 Hz
Reakcijos greitis (ms)4
VESA matmenys (mm)Yra

","

121.87
 €
"
12,"Razer Viper itin lengva laidinė žaidimų pelė, Juoda",https://www.varle.lt/peles/razer-viper-itin-lengva-laidine-zaidimu-pele-chroma--11749127.html,https://www.varle.lt/static/uploads/products/235x195/1103/zai/zaidimu-pele-razer-viper-juodas-juoda.png,"

GamintojasRazer
SerijaOrochi
Rekomenduojama paskirtisŽaidimams
Belaidis pajungimasYra
TipasOptinės
Išskirtinės savybėsBluetooth

","

44.99
 €
"
13,"Žaidimų kėdė Sense7 Prism Gaming Chair, Juoda-raudona",https://www.varle.lt/zaidimu-gaming-kedes/zaidimu-kede-sense7-prism-gaming-chair-juoda-raudona--15322571.html,https://www.varle.lt/static/uploads/products/235x195/605/zai/zaidimu-kede-sense7-prism-gaming-chair_AREUQOd.jpg,"

GamintojasSense7
TipasŽaidimų kėdės
Maksimalus žaidėjo svoris (kg)120
MedžiagaDirbtinė oda, EKO oda
SerijaPrism
SpalvaRaudona, Juoda

","

89.99
 €
"
14,"Žaidimų ausinės SteelSeries Arctis 9, Lossless 2.4 GHz belaidės + Bluetooth",https://www.varle.lt/ausines/zaidimu-ausines-steelseries-arctis-9-lossless-24--14392634.html,https://www.varle.lt/static/uploads/products/235x195/814/ste/steelseries-arctis-9-24ghzbluetooth.jpg,"

GamintojasSteelSeries
SerijaArctis 9
Belaidės ausinėsTaip
Rekomenduojama paskirtisMobile Gaming, Žaidimams
MikrofonasYra
SpalvaJuoda

","

170.95
 €
"
15,"Žaidimų kėdė Sense7 Sentinel fabric  Gaming Chair, Juoda-pilka",https://www.varle.lt/zaidimu-gaming-kedes/zaidimu-kede-sense7-sentinel-fabric-gaming-chair--16489503.html,https://www.varle.lt/static/uploads/products/235x195/402/sen/sense7-gaming-fabric-sentinel-office-chair_k6TrWfH.jpg,"

GamintojasSense7
TipasŽaidimų kėdės
Maksimalus žaidėjo svoris (kg)150
YpatybėsSu kaklo pagalve, Su nugaros pagalve
MedžiagaTekstilė
SerijaSentinel

","

179.99
 €
"
16,"Žaidimų kompiuteris MSI GF66  15.6"" FullHD IPS 144Hz / Intel Core i7-11800H iki 4.6Ghz / 16GB RAM / 512GB SSD PCIe / GeForce RTX3070 8Gb / USB C / HDMI / WiFi AX / šviečianti klaviatūra",https://www.varle.lt/nesiojami-kompiuteriai/nesiojami-kompiuteriai/nesiojamas-kompiuteris-msi-gf66-katana-11ug-220---17006432.html,https://www.varle.lt/static/uploads/products/235x195/281/nes/nesiojamas-kompiuteris-msi-gf66-katana-11ug-220.jpg,"

GamintojasMSI
Ekrano įstrižainė15.6 ""
Atmintis (RAM)16 GB
Vaizdo plokštėnVIDIA/GeForce
Operacinė sistemaNėra
Procesoriaus karta11

","

1349 €
"
17,"Žaidimų kėdė Sense7 Prism Gaming Chair, Juoda-mėlyna",https://www.varle.lt/zaidimu-gaming-kedes/zaidimu-kede-sense7-prism-gaming-chair-juoda-melyna--16451448.html,https://www.varle.lt/static/uploads/products/235x195/605/zai/zaidimu-kede-sense7-prism-gaming-chair_VStYW1T.jpg,"

GamintojasSense7
TipasŽaidimų kėdės
Maksimalus žaidėjo svoris (kg)120
MedžiagaDirbtinė oda, EKO oda
SerijaPrism
SpalvaMėlyna, Juoda

","

89.99
 €
"
18,"Žaidimų kėdė Sense7 Spellcaster Gaming Chair, Juoda-mėlyna",https://www.varle.lt/zaidimu-gaming-kedes/zaidimu-kede-sense7-spellcaster-gaming-chair-juoda-melyna--15831388.html,https://www.varle.lt/static/uploads/products/235x195/622/zai/zaidimu-kede-sense7-spellcaster-gaming-chair_y9GGXCu.jpg,"

GamintojasSense7
TipasŽaidimų kėdės
Maksimalus žaidėjo svoris (kg)150
YpatybėsSu kaklo pagalve, Su nugaros pagalve
MedžiagaDirbtinė oda, EKO oda
SerijaSpellcaster

","

139.99
 €
"
19,"Žaidimų kėdė Sense7 Sentinel fabric  Gaming Chair, Juoda-raudona",https://www.varle.lt/zaidimu-gaming-kedes/zaidimu-kede-sense7-sentinel-fabric-gaming-chair--16489502.html,https://www.varle.lt/static/uploads/products/235x195/402/sen/sense7-gaming-fabric-sentinel-office-chair.jpg,"

GamintojasSense7
TipasŽaidimų kėdės
Maksimalus žaidėjo svoris (kg)150
YpatybėsSu kaklo pagalve, Su nugaros pagalve
MedžiagaTekstilė
SerijaSentinel

","

179.99
 €
"
20,"Žaidimų kėdė Sense7 Sentinel fabric  Gaming Chair, Juoda-mėlyna",https://www.varle.lt/zaidimu-gaming-kedes/zaidimu-kede-sense7-sentinel-fabric-gaming-chair--16489504.html,https://www.varle.lt/static/uploads/products/235x195/605/zai/zaidimu-kede-sense7-sentinel-fabric-gaming_9HlFaX6.jpg,"

GamintojasSense7
TipasŽaidimų kėdės
Maksimalus žaidėjo svoris (kg)150
YpatybėsSu kaklo pagalve, Su nugaros pagalve
MedžiagaTekstilė
SerijaSentinel

","

179.99
 €
"
