,title,link_to_equipment,link_to_image,price_equipment
0,"Žaidimų ausinės Logitech G332, 50mm, 3,5mm, Daugiaplatformės",https://www.varle.lt/ausines/zaidimu-ausines-logitech-g332-50mm-35mm-daugiaplatformes--14211536.html,https://www.varle.lt/static/uploads/products/235x195/622/aus/ausines-logitech-g332-981-000757.jpg,"

34.99
 €
"
1,Belaidės Ausinės Razer Hammerhead True Wireless X | Mobile,https://www.varle.lt/ausines/belaides-ausines-razer-hammerhead-true-belaides-x--16532010.html,https://www.varle.lt/static/uploads/products/235x195/1103/bev/bevieles-zaidimu-ausines-razer-hammerhead.jpg,"

59.99
 €
"
2,"Žaidimų kėdė Sense7 Spellcaster Gaming Chair, Juoda-pilka",https://www.varle.lt/zaidimu-gaming-kedes/zaidimu-kede-sense7-spellcaster-gaming-chair-juoda-pilka--16456622.html,https://www.varle.lt/static/uploads/products/235x195/605/zai/zaidimu-kede-sense7-spellcaster-gaming-chair_X2BIAaj.jpg,"

139.99
 €
"
3,"Žaidimų ausinės HyperX Cloud II (Raudonos) USB control box with DSP sound card, Virtual Dolby 7.1 Surround",https://www.varle.lt/ausines/zaidimu-ausines-hyperx-cloud-ii-raudonos-usb-control--7386811.html,https://www.varle.lt/static/uploads/products/235x195/206/zai/zaidimu-ausines-hyperx-cloud-ii-raudonos.jpeg,"

69.99
 €
"
4,"Laidinė Ergonomiška pelė Razer DeathAdder V2, Chroma, Juoda",https://www.varle.lt/peles/laidine-ergonomiska-pele-razer-death-adder-v2-chroma--13283439.html,https://www.varle.lt/static/uploads/products/235x195/605/lai/laidine-ergonomiska-pele-razer-deathadder.jpeg,"

39.99
 €
"
5,"Belaidė itin tyli pelė Xiaomi Mi Dual Mode Silent Edition, juoda",https://www.varle.lt/peles/belaide-itin-tyli-pele-xiaomi-mi-dual-mode-silent--14036988.html,https://www.varle.lt/static/uploads/products/235x195/4/xia/xiaomi-mi-dual-mode-belaide-pele-silent_DJJwQem.png,"

14.99
 €
"
6,Spausdintuvas/Kopijuoklis/Skeneris PIXMA TS3150/WIFI Juodas 2226C006 CANON,https://www.varle.lt/spausdintuvai/spausdintuvas-printercopscan-pixma-ts3150wifi-juodas--7401383.html,https://www.varle.lt/static/uploads/products/235x195/143/spa/spausdintuvas-canon-pixma-ts3150-2226c006aa.jpeg,"

69.89
 €
"
7,"Monitorius LG 24MP60G-B, 24 colių/Gaming/ Full HD / IPS",https://www.varle.lt/monitoriai/monitorius-lg-24mp60g-b--16134744.html,https://www.varle.lt/static/uploads/products/235x195/622/mon/monitorius-lg-24mp60g-b.jpg,"

128.90
 €
"
8,Stacionarus kompiuteris Actina /ASUS TUF GAMING B550M-PLUS / GeForce RTX 3060 / Patriot Memory PVS416G360C7K / WD BLUE WDS100T3B0C / SilentiumPC Fera 5 Dual Fan / be quiet Pure Power 11 FM / ASUS TUF GAMING GT301,https://www.varle.lt/stacionarus-kompiuteriai/stacionarus-kompiuteris-pc-actina-pba-5600x161tbrtx3060--19050890.html,https://www.varle.lt/static/uploads/products/235x195/2/act/actina-5901443280569-pc-ddr4-sdram-5600x.jpg,"

1351.99
 €
"
9,"Žaidimų kėdė Sense7 Sentinel fabric Gaming Chair, Juoda",https://www.varle.lt/zaidimu-gaming-kedes/zaidimu-kede-sense7-sentinel-fabric-gaming-chair--16442991.html,https://www.varle.lt/static/uploads/products/235x195/622/zai/zaidimu-kede-sense7-sentinel-fabric-gaming_RBkY9l1.jpg,"

179.99
 €
"
