,title,link_to_recipe,link_to_image
0,Bulvių dubenėliai su silke ir daržovėmis,https://www.lamaistas.lt/receptas/bulviu-dubeneliai-su-silke-79853,https://www.lamaistas.lt/uploads/modules/recipes/thumb300x224/37222.jpg
1,Skandinaviški sumuštiniai su burokėliais ir silke,https://www.lamaistas.lt/receptas/skandinaviski-sumustiniai-su-burokeliais-ir-silke-78601,https://www.lamaistas.lt/uploads/modules/recipes/thumb300x224/34257.jpg
2,Greitos obuolių spurgytės,https://www.lamaistas.lt/receptas/greitos-obuoliu-spurgytes-81965,https://www.lamaistas.lt/uploads/modules/recipes/thumb300x224/42062.jpg
3,Obuolių pyragas „Moliūgėlis“,https://www.lamaistas.lt/receptas/obuoliu-pyragas-moliugelis-81960,https://www.lamaistas.lt/uploads/modules/recipes/thumb300x224/42043.jpg
4,Naminis obuolių actas,https://www.lamaistas.lt/receptas/naminis-obuoliu-actas-58144,https://www.lamaistas.lt/uploads/modules/recipes/thumb300x224/42024.jpg
5,Moliūginis sūrio pyragas su Oreo sausainiais,https://www.lamaistas.lt/receptas/moliuginis-surio-pyragas-81704,https://www.lamaistas.lt/uploads/modules/recipes/thumb300x224/41045.jpg
6,Natūraliai saldūs vafliai su špinatais,https://www.lamaistas.lt/receptas/naturaliai-saldus-vafliai-su-spinatais-81961,https://www.lamaistas.lt/uploads/modules/recipes/thumb300x224/42046.jpg
7,Sultingi maltinukai su kopūstais,https://www.lamaistas.lt/receptas/sultingi-maltinukai-su-kopustais-64736,https://www.lamaistas.lt/uploads/modules/recipes/thumb300x224/31068.jpg
8,Greitai paraugintos vynuogės - tobulas garnyras,https://www.lamaistas.lt/receptas/greitai-paraugintos-vynuoges-81944,https://www.lamaistas.lt/uploads/modules/recipes/thumb300x224/42002.jpg
9,Gardi uošvio burokėlių sriuba su džiovintais baravykais ir pupelėmis,https://www.lamaistas.lt/receptas/gardi-uosvio-burokeliu-sriuba-su-dziovintais-baravykais-ir-pupelemis-81920,https://www.lamaistas.lt/uploads/modules/recipes/thumb300x224/41915.jpg
10,Azijietiškas kopūstų ir mėsytės stir fry - greita ir laaaabai skanu!,https://www.lamaistas.lt/receptas/azijietiskas-kopustu-ir-mesytes-stir-fry-greita-ir-laaaabai-skanu-61963,https://www.lamaistas.lt/uploads/modules/recipes/thumb300x224/25063.jpg
11,Užkepti tortilijų suktinukai su vištiena ir brokoliais,https://www.lamaistas.lt/receptas/uzkepti-tortiliju-suktinukai-su-vistiena-ir-brokoliais-81898,https://www.lamaistas.lt/uploads/modules/recipes/thumb300x224/41783.jpg
12,Helovino sausainiai su šokolado pertepimu,https://www.lamaistas.lt/receptas/dvigubi-sausainiai-su-sokolado-pertepimu-79997,https://www.lamaistas.lt/uploads/modules/recipes/thumb300x224/36893.jpg
13,Krevečių karis su kokoso pienu ir daržovėmis,https://www.lamaistas.lt/receptas/kreveciu-karis-su-kokoso-pienu-ir-darzovemis-80366,https://www.lamaistas.lt/uploads/modules/recipes/thumb300x224/37951.jpg
14,Vieno puodo jautienos ir grikių troškinys,https://www.lamaistas.lt/receptas/vieno-puodo-jautienos-ir-grikiu-troskinys-80611,https://www.lamaistas.lt/uploads/modules/recipes/thumb300x224/38475.jpg
15,Nealkoholinis apelsinų gėrimas Helovynui,https://www.lamaistas.lt/receptas/nealkoholinis-apelsinu-glintveinas-79987,https://www.lamaistas.lt/uploads/modules/recipes/thumb300x224/36861.jpg
16,Olandiškas obuolių pyragas,https://www.lamaistas.lt/receptas/olandiskas-obuoliu-pyragas-62444,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
17,Šokoladinė moliūgų duona,https://www.lamaistas.lt/receptas/sokoladine-moliugu-duona-81756,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
18,Traški saldžiarūgštė kiauliena su makaronais,https://www.lamaistas.lt/receptas/traski-saldziarugste-kiauliena-su-makaronais-62626,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
19,Krevetės toskanietiškame grietinėlės padaže,https://www.lamaistas.lt/receptas/krevetes-toskanietiskame-grietineles-padaze-80220,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
20,Kokosiniai sausainiai su kremu ir aviečių džemu,https://www.lamaistas.lt/receptas/kokosiniai-sausainiai-su-kremu-ir-avieciu-dzemu-81217,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
21,Azijietiški makaronai su daržovėmis,https://www.lamaistas.lt/receptas/azijietiski-makaronai-su-darzovemis-81902,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
22,Grill sumuštinis su grybais ir kiaušiniu,https://www.lamaistas.lt/receptas/grill-sumustinis-su-grybais-ir-kiausiniu-81901,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
23,Taquitos su plėšyta vištiena,https://www.lamaistas.lt/receptas/taquitos-su-plesyta-vistiena-81733,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
24,Tarta su miško grybais,https://www.lamaistas.lt/receptas/tarta-su-misko-grybais-81759,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
25,Tinginukų moliūgų sriuba,https://www.lamaistas.lt/receptas/tinginuku-moliugu-sriuba-61112,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
26,Tobulas šokoladinis braunis,https://www.lamaistas.lt/receptas/tobulas-sokoladinis-braunis-60903,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
27,Tortilijų pyragėliai su vištiena,https://www.lamaistas.lt/receptas/tortiliju-pyrageliai-su-vistiena-81879,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
28,Makaronai su vištiena ir kreminiu citrininiu padažu,https://www.lamaistas.lt/receptas/makaronai-su-vistiena-ir-kreminiu-citrininiu-padazu-80346,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
29,Vegetariškos enčilados,https://www.lamaistas.lt/receptas/vegetariskos-encilados-80636,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
30,Jautienos didkepsniai su keptomis daržovėmis,https://www.lamaistas.lt/receptas/jautienos-didkepsniai-su-keptomis-darzovemis-81851,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
31,Traški kiniška vištiena su saldžiai aštriu padažu,https://www.lamaistas.lt/receptas/traski-kiniska-vistiena-su-saldziai-astriu-padazu-65909,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
32,Marokietiškas troškinys su moliūgais ir avinžirniais,https://www.lamaistas.lt/receptas/marokietiskas-troskinys-su-moliugais-ir-avinzirniais-81667,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
33,Klasikiniai buritai,https://www.lamaistas.lt/receptas/klasikiniai-buritai-81732,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
34,Purūs vokiški varškėčiai su bulvėmis,https://www.lamaistas.lt/receptas/vokiski-bulviniai-varskeciai-79560,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
35,Firminė rudens mišrainė,https://www.lamaistas.lt/receptas/firmine-rudens-misraine-81812,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
36,Vištienos čili troškinys,https://www.lamaistas.lt/receptas/vistienos-cili-80085,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
37,Šokoladinis moliūgų pyragas su varškės kremu,https://www.lamaistas.lt/receptas/sokoladinis-moliugu-pyragas-su-varskes-kremu-62485,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
38,Kopūstų salotos su vištiena ir sūriu,https://www.lamaistas.lt/receptas/kopustu-salotos-su-vistiena-ir-suriu-81835,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
39,"Moliūgų virtinukai ""Gnocchi""",https://www.lamaistas.lt/receptas/moliugu-virtinukai-gnocchi-65043,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
40,Azijietiški kepti ryžiai su daržovėmis ir anakardžiais,https://www.lamaistas.lt/receptas/azijietiski-kepti-ryziai-su-darzovemis-ir-anakardziais-81715,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
41,Gaivus skrebutis su burrata ir pomidorais,https://www.lamaistas.lt/receptas/gaivus-skrebutis-su-burrata-ir-pomidorais-81802,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
42,Midijos nealkoholinio alaus padaže,https://www.lamaistas.lt/receptas/midijos-nealkoholinio-alaus-padaze-81822,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
43,Tortilijų suktinukai su malta jautiena,https://www.lamaistas.lt/receptas/encilados-su-malta-jautiena-81735,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw=="
